273795515772_10153270635160773	2015-10-31T08:09:44+0000	Still waiting for our baggage KLM!
273795515772_10153270634315773	2015-10-31T08:08:23+0000	I have been seriously disturbed reporting my missing bag departing UK, Manchester(MAN) arriving Nigeria (LOS) on KL1074 AMS - KL0587 LOS. Date 29th Oct, 2015.  But the Customer Support reporting missing bag page was showing a message that the flight KL0587 was unknown. Thus could not continue the reporting from the page. Please what do I do this is second day of my arrival and no call about my bag.
273795515772_10153270633440773	2015-10-31T08:06:47+0000	Hi, I changed my flight and am trying to select a seat but i can't do it online anymore, any suggestions?
273795515772_10153270627805773	2015-10-31T08:00:26+0000	Kunt u aangeven waarom de prijs van een vlucht vanuit Cali Colombia naar Amsterdam hoger is dan de prijs van een vlucht vanuit Amsterdam naar Cali?
273795515772_10153270615325773	2015-10-31T07:49:10+0000	Why you don't answer for complaining  It's like you don't respect  Customer service or support didn't answer That's bad thing you do
273795515772_10153270615110773	2015-10-31T07:48:52+0000	Do I need advanced ESTA Approval 72 hours prior if I am an American Citizen?
273795515772_10153270599100773	2015-10-31T07:22:45+0000	Hei We shall travel to Los Angeles from Bergen Norway tomorrow. We are norwegians. I obtained visa due to the reason that my stay will be for more than 3 month. My wife has obtained ESTA. However, when I am trying to check in, we were told that we cannot due to ESTA. May you help to do a check in for us?
273795515772_10153270598670773	2015-10-31T07:22:14+0000	Hello KLM! I just became a flying blue member. I got an email saying I could claim airmiles for the last three months. How do I find the ticketnumbers for my flights in august and september when I deleted the emails? You must have a record of it somewherte right?   In advance, Thanks!  Best regards,   Morten Tøndel
273795515772_10153270574435773	2015-10-31T06:41:52+0000	if i misspelled my last name in ticket? what shall i do? just one letter.. i have flight tomorrow?thanks
273795515772_10153270554165773	2015-10-31T06:05:29+0000	Good day, appreciate your advice on something... I've noticed that many KLM and Air France flights returning from Canada to South Africa have long layovers, ie.14 hours in AMS or PAR. As a South African passport holder, would I require a Schengen visa if I wish to leave the airport while in transit?  Or is there a 24 hour visa-free stay exception for SA passengers in transit who wish to leave the airport for a couple of hours to visit Paris or Amsterdam, then return to the airport to continue the onward flight back to South Africa?
273795515772_10153270545725773	2015-10-31T05:53:28+0000	hi i wanted to upgrade my seat i can't find a link to do that?
273795515772_10153270499690773	2015-10-31T04:59:48+0000	Once Again the outdated,over rated Budget airline that is KLM has failed its clients ,despite my enquiry needing an urgent response as it involves the safe guard of my child regarding an imminent flight tonight ,KLM,s customer Service is non existent regarding flight enquiries, this airline needs a management shake up to start respecting there clients needs, I can only envisage problems tonight on check -in due to lack of  attention from the airlines customer service online                 shame on you KLM ,they are so quick to take your money but not so quick to provide a service
273795515772_10153270465865773	2015-10-31T04:18:56+0000	Hello, I'm trying to check and it looks like I'm having a problem. I am  German but born in Poland. My passport has been recently issued by the German consulate in Amsterdam.  What is the country of issue in this case? Germany or the Netherlands?
273795515772_10153270427270773	2015-10-31T04:07:24+0000	Is there a flight number from paros to jfk, oct 30. 22:45 hrs?
273795515772_10153270423765773	2015-10-31T04:06:24+0000	Looking to get flight information coming n from Paris, arrival time 22:45
273795515772_10153270400070773	2015-10-31T03:34:25+0000	Bom dia eu tenho uma passagem marcada de ida e volta Rio Amsterdam Rio. Acontece que quero alterar a data da volta. O que devo fazer?
273795515772_10153270294835773	2015-10-31T01:58:55+0000	Hey!!! sorry for interrupting!    I wanted to make my booking to Chengdu, but my credit card had some problems. I tried twice, both failed. When I logged in my KLM app, I saw I had 2 bookings. its kind of weird...
273795515772_10153270237245773	2015-10-31T01:12:10+0000	Hello,  Please i want to make an urgent request
273795515772_10153270180740773	2015-10-31T00:16:49+0000	Hola , he hecho una reserva de vuelo online en España : Bcn - Mex ( round trip) , tengo el Booking code,  Lo puede pagar otra persona en México ?
273795515772_10153270160925773	2015-10-30T23:59:29+0000	Hi KLM, I have noticed that the name printed on my flight ticket is not correct, how do i change this?
273795515772_10153270156210773	2015-10-30T23:54:46+0000	PM sent.
273795515772_10153270154500773	2015-10-30T23:52:54+0000	How much does it cost to have 1kg overweight on luggage? Traveling from Vancouver to Tanzania
273795515772_10153270150555773	2015-10-30T23:49:29+0000	hola quise reservar un vuelo de rio a lisboa ..lisboa buenos aires y en la forma de pago me sale que se produjo un error
273795515772_10153270145030773	2015-10-30T23:43:31+0000	I would like a one way ticket from Dar Es Salaam to Curacao
273795515772_10153270143695773	2015-10-30T23:41:55+0000	We are now 2 days in buenos aires waiting on our luggage with no progress apparently - one case is still in Amsterdam and one in São Paolo awaiting release by KLM to Gol - please can someone help with this?
273795515772_10153270122800773	2015-10-30T23:28:16+0000	I've been trying to check in since this morning, and order extra baggage: impossible to check in once I'm logged in, as the system will stop and prevent me from doing anything of the like. Is this a way to make me pay more for my luggage? To turn me down at the airport for not checking in in time? For giving me a bad place on the plane? One can wonder. My flight is in 9 hours and I'm still up and trying to do this operation that I know won't work anyway, and I'll be the one to blame tomorrow at the airport...
273795515772_10153270121430773	2015-10-30T23:26:48+0000	Please help. how to check in with Trasavia???
273795515772_10153270103125773	2015-10-30T23:11:30+0000	Hallo KLM,   Ik heb vandaag een email gekregen dat ik morgen kan inchecken. Ik zou eigenlijk morgen samen met mijn ouders en mijn dochter vanuit Suriname naar Nederland vertrekken maar wegens omstandigheden had ik mijn vlucht vervroegd en ben ik vorige week donderdag 22 oktober terug gevlogen naar Amsterdam.   Alle tickets waren geboekt op het email adres van mijn vader en mijn ticket had ik kunnen wijzigen en mijn vliegticket zodat ik eerder terug kon werd naar mijn email adres verstuurd.   Nu vraag ik me af wat ik nu met deze email moet doen want ik ben inmiddels al in Nederland.   De overige 3 tickets zijn die wel naar het email adres van mijn vader verstuurd en kunnen zij gewoon normaal inchecken dan?    Ik hoop dat ik zo spoedig mogelijk een antwoord van jullie ontvang want mijn ouders en mijn dochtertje vliegen op zaterdag 31 oktober om 1930 Surinaamse tijd terug naar Nederland.   Bedankt alvast!
273795515772_10153270121160773	2015-10-30T23:26:35+0000	Great
273795515772_10153270092810773	2015-10-30T23:00:33+0000	Do you have a toll free number?
273795515772_10153270086895773	2015-10-30T22:52:45+0000	How about finding our lost baggage KLM? Stuck in Vienna with no clothes except what we stand in after a flight from Cardiff via Amsterdam. Supposed to be a celebratory weekend for my 50th birthday. You are ruining it!
273795515772_10153270074875773	2015-10-30T22:40:25+0000	Graag spoedig assistentie ivm betaling en zorgen om comfort seat en reservering van assistentie en ESA, zie pb. Vlucht op korte termijn.
273795515772_10153270074100773	2015-10-30T22:39:43+0000	We have booked a flight from Alicante to Norway.  But it was not possible to add the luggage.    Alicante-Amsterdam with KLM / Transavia and Amsterdam-Norway with KLM.    KLM refuse to add our luggage and ask us to contact Transavia. Transavia writes: “unfortunately we have to confirm you that a booking created from KLM can be handle and modify just from KLM”.  What a bad service.   KLM refuse to reply why Transavia writes these words. We can fly with KLM but not bring our luggage.
273795515772_10153270049860773	2015-10-30T22:22:33+0000	Hallo KLM,  Ik zie verschillende vlucht statussen over vlucht KL 0685 van Amsterdam naar Mexico City. Kunnen jullie mij de verwachte aankomsttijd geven?
273795515772_10153270028410773	2015-10-30T22:06:04+0000	Hello, i'm from france and i'm flying to Amsterdam and then to Montreal on Sunday, and i still dont have the latest check-in time ??? is it normal ? i check my e-mail every day but i've only the flying time... how can i know when i have to be in the airport ?
273795515772_10153270028305773	2015-10-30T22:05:56+0000	Ik heb vd KLM een 'Amenity Coupon' voor extra miles ontvangen vanwege een overboekte vlucht (waardoor ik een vlucht later moest nemen). Kan ik die amenity coupon ook online indienen of moet dat per sé opgestuurd worden naar Ivry-Sur-Seine...? Dank en groet!
273795515772_10153270025085773	2015-10-30T22:02:32+0000	My flight was booked by my office and I need to update my passport details as I have a new passport with my ESTA approval. I can't find how to get to my personal details
273795515772_10153270020920773	2015-10-30T21:58:32+0000	flight changed or cancelled We are very sorry, but your flight has been cancelled. Please contact us to reschedule your flight. We will do our very best to help you on your way again!  Did you change your flight? Please contact us so we can confirm that rebooking was successful. We are sorry for the inconvenience.  i need solution
273795515772_10153270020555773	2015-10-30T21:58:11+0000	Ik wil een vlucht omboeken. Ik woon in Costa Rica. Moet ik dan persé contact opnemen met KLM Panama of kan ik ook bij KLM Nederland terecht? Callcenter in Panama is voor mij onmogelijk omdat ik de computerstem niet kan horen (die is vrijwel onhoorbaar).
